schema,function_name,signature,sha256_of_definition
public,couranr_cvp_tenure_monotone,"",f105c6779ad4d4bf20b634f341d63d24d58cf2043c6a94d33728923a169fcfca
public,couranr_deactivate_driver,"p_driver_id uuid, p_expected_version integer, p_actor_user_id uuid",889a94e2663419cd983be62ab8c7ab305dac4c333168f4a093ec11d9cb063542
public,couranr_decide_activation,"p_business_account_id uuid, p_actor_user_id uuid, p_grant boolean, p_blocked_reason_code text",831e3b4b5add738c3c43b91f8931c2734eaa3a9b9279f7688b6b33d339c254a4
public,couranr_decline_delivery_request,"p_request_id uuid, p_business_account_id uuid, p_expected_version integer, p_actor_user_id uuid, p_decline_reason text, p_internal_note text",801986be57eb9995329de10d600e5482e8ff5ab0218014ace9128399694a70e2
public,couranr_disable_member,"p_business_account_id uuid, p_actor_user_id uuid, p_member_id uuid",31a58c7634a5bea2318042ea5dc148242727fd15a72fd2cd8ec9f3491267b428
public,couranr_driver_assignment_for,"p_delivery_id uuid, p_actor_user_id uuid",5b41a28939e21d4d285efb189fc2554f14a477ec4e798221980284bd2897e6f9
public,couranr_driver_completion_receipt,"p_actor_user_id uuid",25dfac76cf1f06eff702bd4a11eb10143dcb38f39dbe85d50842b2417a91fea0
public,couranr_duplicate_merchant_preset,"p_business_account_id uuid, p_actor_user_id uuid, p_preset_id uuid, p_new_name text",f13a9b61bf134a0bfcd6385c973589c75e3316e34de38785c4004a821ca94838
public,couranr_fail_payment_capture,"p_obligation_id uuid, p_provider_event_id text, p_reason text",68d4d7a0c17b354590ea0c8f4b118023c133b25acf652839203538869114f79f
public,couranr_finalize_proof_upload,"p_upload_id uuid, p_actor_user_id uuid, p_actual_path text, p_actual_bytes integer, p_actual_mime text, p_latitude numeric, p_longitude numeric, p_accuracy_m numeric, p_discrepancy_id uuid, p_metadata jsonb",2ebd317e96fb5ea044db7540c0e6a6a1edf446227463e05b6c7b8938eeb64e86
public,couranr_find_user_id_by_email,"p_email text",237eacb2fd0cbe72ca106ee2e79201fe00cce1a523ae8d8765a183d82c71a745
public,couranr_finish_delivered,"p_delivery_id uuid, p_expected_version integer, p_actor_user_id uuid, p_assignment_id uuid, p_command text, p_metadata jsonb",ba981a665ca867cd50eee4964e728b186f06d068104b57232705fcc4e2f577b3
public,couranr_help_post_message,"p_token_id uuid, p_body text, p_topic text, p_idempotency_key text",3d4d784507c51057306799b34ee18c067c2a1b1a62b6b8faac2854879ef5d54c
public,couranr_help_thread,"p_token_id uuid",42bdeace5ed56ab79bcd6a5982a686ab183303ea0e3fcc0db260ea7611f3ffbb
public,couranr_invite_member,"p_business_account_id uuid, p_actor_user_id uuid, p_invited_user_id uuid, p_invited_email text, p_role text",c58090aa43eb0abd38f15149df093c281f79c38cf48f2c327bfaeb3c0f4f496a
public,couranr_is_within_operating_hours,"p_at timestamp with time zone",b0ba630a1e654e70926e6bc54046456fa555804dc36db886dbf261c503157242
public,couranr_issue_delivery_access_token,"p_request_id uuid, p_token_hash text, p_ttl_days integer",435aee48348f443f8370b7580e1054bec6c5990568bb9c3b6ee8dc0b75b87e7d
public,couranr_issue_handoff_code,"p_delivery_id uuid, p_code_kind text, p_code_digest text, p_actor_user_id uuid, p_ttl_minutes integer",8ae73a1d3c88dbe04188246d6b52b9c1a90b44b3f704038deb715165f6406c76
public,couranr_issue_help_token,"p_delivery_id uuid, p_token_hash text, p_ttl_days integer",e871f6768fa278090799b87929500b145ee011e49f014d9437d463dd78ed322e
public,couranr_issue_payment_access_token,"p_request_id uuid, p_obligation_id uuid, p_token_hash text, p_ttl_days integer",1cb914b7d61885a294b0bb80e6a95dda66bf22e1da95666a5bce2c1bc6e843b9
public,couranr_jsonb_audit_shape_ok,"p_doc jsonb, p_keys text[], p_max_len integer",333646f8a0e58a228a39f2de2ca353232d7bffeff112394b8cd8236030740190
public,couranr_jsonb_has_no_key,"p_doc jsonb, p_keys text[]",6607065cd949e72892235b93a665ee018ba5f6e7c0a8a2445e7de947c8d05c44
public,couranr_lock_activation,"p_business_account_id uuid",6eb6f52665931953f6af926817069bae7ada546029d063b1663ab3299f38feb3
public,couranr_lock_and_count_active_owners,"p_business_account_id uuid",696d2def94c90b4605c00e3f988903dce6a9e7f07a12b50d458df3c4b2d389ae
public,couranr_mark_delivery_not_ready,"p_request_id uuid, p_business_account_id uuid, p_expected_version integer, p_actor_user_id uuid",6c7d803040a2fbf89054221e131aa92a1c4841e93d3ed460ef7a5bba0d23892b
