object_type,schema,object_name,signature_or_table,production_exists,notes
function,public,couranr_mark_driver_unavailable,"p_driver_id uuid, p_expected_version integer, p_actor_user_id uuid",yes,security=invoker volatility=volatile
function,public,couranr_mark_vehicle_available,"p_vehicle_id uuid, p_expected_version integer, p_actor_user_id uuid",yes,security=invoker volatility=volatile
function,public,couranr_mark_vehicle_unavailable,"p_vehicle_id uuid, p_expected_version integer, p_actor_user_id uuid",yes,security=invoker volatility=volatile
function,public,couranr_next_operating_period_start,"p_at timestamp with time zone",yes,security=invoker volatility=stable
function,public,couranr_operating_minutes_between,"p_start timestamp with time zone, p_end timestamp with time zone",yes,security=invoker volatility=stable
function,public,couranr_operating_timezone,"",yes,security=invoker volatility=immutable
function,public,couranr_preset_body_is_clean,"p_body jsonb",yes,security=invoker volatility=immutable
function,public,couranr_reactivate_member,"p_business_account_id uuid, p_actor_user_id uuid, p_member_id uuid",yes,security=invoker volatility=volatile
function,public,couranr_record_test_delivery,"p_business_account_id uuid, p_actor_user_id uuid, p_request_id uuid",yes,security=invoker volatility=volatile
function,public,couranr_redeem_delivery_access_token,"p_token_hash text",yes,security=invoker volatility=volatile
function,public,couranr_redeem_help_token,"p_token_hash text",yes,security=definer volatility=volatile
function,public,couranr_redeem_payment_access_token,"p_token_hash text",yes,security=invoker volatility=volatile
function,public,couranr_release_assignment_resources,"p_driver_id uuid, p_vehicle_id uuid",yes,security=invoker volatility=volatile
function,public,couranr_replace_delivery_assignment,"p_delivery_id uuid, p_expected_assignment_version integer, p_actor_user_id uuid, p_driver_id uuid, p_vehicle_id uuid, p_reason text, p_idempotency_key text",yes,security=invoker volatility=volatile
function,public,couranr_report_pickup_discrepancy,"p_delivery_id uuid, p_actor_user_id uuid, p_reason text, p_notes text",yes,security=invoker volatility=volatile
function,public,couranr_request_activation,"p_business_account_id uuid, p_actor_user_id uuid, p_required_acks jsonb",yes,security=invoker volatility=volatile
function,public,couranr_require_active_member,"p_business_account_id uuid, p_actor_user_id uuid",yes,security=invoker volatility=volatile
function,public,couranr_require_preset_manager,"p_business_account_id uuid, p_actor_user_id uuid",yes,security=invoker volatility=volatile
function,public,couranr_requote_delivery_request,"p_request_id uuid, p_business_account_id uuid, p_expected_version integer, p_actor_user_id uuid, p_pricing_policy_version text, p_delivery_subtotal_cents integer, p_included_loaded_miles integer, p_billable_loaded_miles numeric, p_quote_line_items jsonb, p_requote_reason text",yes,security=invoker volatility=volatile
function,public,couranr_resolve_pickup_discrepancy_safe_to_continue,"p_discrepancy_id uuid, p_expected_version integer, p_actor_user_id uuid, p_note text",yes,security=invoker volatility=volatile
function,public,couranr_resolve_terminal_capture_failure,"p_obligation_id uuid, p_provider_event_id text, p_payment_intent_id text, p_intent_status text, p_amount integer, p_currency text, p_failure_code text",yes,security=invoker volatility=volatile
function,public,couranr_revoke_delivery_access_tokens,"p_request_id uuid, p_reason text",yes,security=invoker volatility=volatile
function,public,couranr_revoke_payment_access_tokens,"p_request_id uuid, p_reason text",yes,security=invoker volatility=volatile
function,public,couranr_save_website_tool_config,"p_business_account_id uuid, p_actor_user_id uuid, p_status text, p_embed_label text, p_embed_color text, p_embed_width integer, p_embed_variant text",yes,security=invoker volatility=volatile
function,public,couranr_set_business_categories,"p_business_account_id uuid, p_actor_user_id uuid, p_primary text, p_secondary text[], p_registry_version text",yes,security=invoker volatility=volatile
function,public,couranr_set_customer_archived,"p_business_account_id uuid, p_actor_user_id uuid, p_customer_id uuid, p_archived boolean",yes,security=invoker volatility=volatile
function,public,couranr_set_merchant_preset_archived,"p_business_account_id uuid, p_actor_user_id uuid, p_preset_id uuid, p_archived boolean",yes,security=invoker volatility=volatile
function,public,couranr_start_route_to_dropoff,"p_delivery_id uuid, p_expected_version integer, p_actor_user_id uuid",yes,security=invoker volatility=volatile
function,public,couranr_start_route_to_pickup,"p_delivery_id uuid, p_expected_version integer, p_actor_user_id uuid",yes,security=invoker volatility=volatile
function,public,couranr_submit_delivery_request,"p_request_id uuid, p_business_account_id uuid, p_expected_version integer, p_actor_user_id uuid, p_quote_status text, p_pricing_policy_version text, p_delivery_subtotal_cents integer, p_included_loaded_miles integer, p_billable_loaded_miles numeric, p_quote_line_items jsonb, p_review_reasons jsonb, p_merchant_acknowledged boolean",yes,security=invoker volatility=volatile
function,public,couranr_suspend_driver,"p_driver_id uuid, p_expected_version integer, p_actor_user_id uuid",yes,security=invoker volatility=volatile
function,public,couranr_text_array_is_distinct,"p_values text[]",yes,security=invoker volatility=immutable
function,public,couranr_unassign_delivery_before_pickup,"p_delivery_id uuid, p_expected_version integer, p_actor_user_id uuid, p_reason text",yes,security=invoker volatility=volatile
function,public,couranr_update_dispatch_vehicle,"p_vehicle_id uuid, p_expected_version integer, p_actor_user_id uuid, p_name text, p_payload_capacity_lb integer, p_active boolean, p_availability_state text",yes,security=invoker volatility=volatile
function,public,couranr_update_merchant_customer,"p_business_account_id uuid, p_actor_user_id uuid, p_customer_id uuid, p_expected_version integer, p_display_name text, p_email text, p_phone text, p_normalized_email text, p_normalized_phone text, p_payer_preference text, p_notes text",yes,security=invoker volatility=volatile
function,public,couranr_update_merchant_preset,"p_business_account_id uuid, p_actor_user_id uuid, p_preset_id uuid, p_name text, p_body jsonb, p_expected_version integer",yes,security=invoker volatility=volatile
function,public,couranr_update_workspace_profile,"p_business_account_id uuid, p_actor_user_id uuid, p_name text, p_business_category text, p_pickup_address jsonb, p_contact_phone text, p_payer_default text",yes,security=invoker volatility=volatile
function,public,couranr_vehicle_class_rank,"p_class text",yes,security=invoker volatility=immutable
function,public,couranr_vehicle_incompatibility,"p_vehicle_id uuid, p_driver_id uuid, p_requirement jsonb",yes,security=invoker volatility=stable
function,public,couranr_verify_activation_contact,"p_business_account_id uuid, p_actor_user_id uuid",yes,security=invoker volatility=volatile
function,public,couranr_verify_handoff_code,"p_delivery_id uuid, p_code_kind text, p_code_digest text, p_actor_user_id uuid",yes,security=invoker volatility=volatile
index,public,couranr_aa_once_key,couranr_activation_acknowledgements,yes,unique=t
index,public,couranr_actev_business_idx,couranr_activation_events,yes,unique=f
index,public,couranr_activation_acknowledgements_pkey,couranr_activation_acknowledgements,yes,unique=t
index,public,couranr_activation_events_pkey,couranr_activation_events,yes,unique=t
index,public,couranr_ae_delivery_idx,couranr_assignment_events,yes,unique=f
index,public,couranr_asg_delivery_idx,couranr_delivery_assignments,yes,unique=f
index,public,couranr_asg_idempotency_uniq,couranr_delivery_assignments,yes,unique=t
index,public,couranr_asg_one_active_per_delivery,couranr_delivery_assignments,yes,unique=t
index,public,couranr_asg_one_active_per_driver,couranr_delivery_assignments,yes,unique=t
index,public,couranr_assignment_events_pkey,couranr_assignment_events,yes,unique=t
index,public,couranr_category_presets_pkey,couranr_category_presets,yes,unique=t
index,public,couranr_conversation_events_pkey,couranr_conversation_events,yes,unique=t
index,public,couranr_conversation_messages_pkey,couranr_conversation_messages,yes,unique=t
index,public,couranr_conversation_participants_pkey,couranr_conversation_participants,yes,unique=t
index,public,couranr_conversations_pkey,couranr_conversations,yes,unique=t
index,public,couranr_cp_category_idx,couranr_category_presets,yes,unique=f
index,public,couranr_cv_business_idx,couranr_conversations,yes,unique=f
index,public,couranr_cv_due_idx,couranr_conversations,yes,unique=f
index,public,couranr_cv_one_thread_per_delivery_kind,couranr_conversations,yes,unique=t
index,public,couranr_cve_thread_idx,couranr_conversation_events,yes,unique=f
index,public,couranr_cvm_idempotency_uniq,couranr_conversation_messages,yes,unique=t
index,public,couranr_cvm_thread_idx,couranr_conversation_messages,yes,unique=f
index,public,couranr_cvp_id_conv_uniq,couranr_conversation_participants,yes,unique=t
index,public,couranr_cvp_live_token_uniq,couranr_conversation_participants,yes,unique=t
index,public,couranr_cvp_live_user_uniq,couranr_conversation_participants,yes,unique=t
index,public,couranr_cvp_lookup_idx,couranr_conversation_participants,yes,unique=f
index,public,couranr_dat_hash_uniq,couranr_delivery_access_tokens,yes,unique=t
index,public,couranr_dat_request_idx,couranr_delivery_access_tokens,yes,unique=f
index,public,couranr_deliveries_pkey,couranr_deliveries,yes,unique=t
index,public,couranr_delivery_access_tokens_pkey,couranr_delivery_access_tokens,yes,unique=t
index,public,couranr_delivery_assignments_pkey,couranr_delivery_assignments,yes,unique=t
index,public,couranr_delivery_events_pkey,couranr_delivery_events,yes,unique=t
index,public,couranr_delivery_proofs_pkey,couranr_delivery_proofs,yes,unique=t
index,public,couranr_delivery_request_events_pkey,couranr_delivery_request_events,yes,unique=t
index,public,couranr_delivery_requests_idempotency_uniq,couranr_delivery_requests,yes,unique=t
index,public,couranr_delivery_requests_pkey,couranr_delivery_requests,yes,unique=t
index,public,couranr_dispatch_vehicles_pkey,couranr_dispatch_vehicles,yes,unique=t
index,public,couranr_dlv_business_idx,couranr_deliveries,yes,unique=f
index,public,couranr_dlv_request_uniq,couranr_deliveries,yes,unique=t
index,public,couranr_dlv_state_idx,couranr_deliveries,yes,unique=f
index,public,couranr_dlve_delivery_idx,couranr_delivery_events,yes,unique=f
index,public,couranr_dp_assignment_idx,couranr_delivery_proofs,yes,unique=f
index,public,couranr_dp_delivery_idx,couranr_delivery_proofs,yes,unique=f
index,public,couranr_dr_business_created_idx,couranr_delivery_requests,yes,unique=f
index,public,couranr_dr_created_by_idx,couranr_delivery_requests,yes,unique=f
index,public,couranr_dr_request_updated_idx,couranr_delivery_requests,yes,unique=f
index,public,couranr_dr_review_submitted_idx,couranr_delivery_requests,yes,unique=f
index,public,couranr_dre_request_created_idx,couranr_delivery_request_events,yes,unique=f
index,public,couranr_drivers_pkey,couranr_drivers,yes,unique=t
index,public,couranr_drv_user_uniq,couranr_drivers,yes,unique=t
index,public,couranr_handoff_codes_pkey,couranr_handoff_codes,yes,unique=t
index,public,couranr_handoff_records_pkey,couranr_handoff_records,yes,unique=t
index,public,couranr_hat_delivery_idx,couranr_help_access_tokens,yes,unique=f
index,public,couranr_hat_hash_uniq,couranr_help_access_tokens,yes,unique=t
index,public,couranr_hc_delivery_idx,couranr_handoff_codes,yes,unique=f
index,public,couranr_hc_generation_uniq,couranr_handoff_codes,yes,unique=t
index,public,couranr_hc_one_active_per_kind,couranr_handoff_codes,yes,unique=t
index,public,couranr_help_access_tokens_pkey,couranr_help_access_tokens,yes,unique=t
index,public,couranr_hr_one_per_stage,couranr_handoff_records,yes,unique=t
index,public,couranr_merchant_preset_versions_pkey,couranr_merchant_preset_versions,yes,unique=t
index,public,couranr_merchant_presets_pkey,couranr_merchant_presets,yes,unique=t
index,public,couranr_merchant_workspaces_pkey,couranr_merchant_workspaces,yes,unique=t
index,public,couranr_mp_business_idx,couranr_merchant_presets,yes,unique=f
index,public,couranr_mp_name_uniq,couranr_merchant_presets,yes,unique=t
index,public,couranr_mpv_preset_idx,couranr_merchant_preset_versions,yes,unique=f
index,public,couranr_mpv_uniq,couranr_merchant_preset_versions,yes,unique=t
index,public,couranr_mw_account_uniq,couranr_merchant_workspaces,yes,unique=t
index,public,couranr_mw_created_by_idx,couranr_merchant_workspaces,yes,unique=f
index,public,couranr_mw_idempotency_uniq,couranr_merchant_workspaces,yes,unique=t
index,public,couranr_pat_hash_uniq,couranr_payment_access_tokens,yes,unique=t
